family,L,PCR,order_churn,fill,cover_days,orders_per_year
Fixed order quantity (LN),28,0.03476877627542325,0.6309278350515464,1.0,13.975902978150216,14.185351270553065
Economic order quantity (LN),10,0.11987274173389388,0.5970571590265987,1.0,10.321058584670991,75.2914798206278
Economic order quantity (LN),100,0.11816838995568685,0.7407407407407407,1.0,10.747540975269414,59.469357249626306
Economic order quantity (LN),1000,0.07794568799000114,0.9358799454297408,1.0,12.192662274576263,29.46188340807175
Floating window (both),7,0.023406431087376434,0.7862595419847328,1.0,1.7260667398325131,10.366218236173394
Floating window (both),14,0.014884672196341325,0.8851351351351351,1.0,6.175184197501436,6.001494768310912
Floating window (both),28,0.0103397341211226,0.9381443298969072,1.0,11.764318390541833,3.273542600896861
Floating window (both),56,0.006362913305306216,0.9824561403508771,1.0,20.773684231726246,1.6367713004484306
Fixed order quantity (LN),7,0.03317804794909669,0.43452380952380953,1.0,3.0648775796340226,24.55156950672646
Fixed order quantity (LN),28,0.020452221338484265,0.4838709677419355,1.0,5.910916443610106,10.911808669656203
Economic order quantity (LN),10,0.05294852857629815,0.6155878467635403,1.0,0.028382168783178584,30.00747384155456
Economic order quantity (LN),100,0.045335757300306784,0.586764705882353,1.0,0.5316052743836184,26.733931240657697
Economic order quantity (LN),1000,0.0388592205431201,0.9168900804289544,1.0,3.6314333617941768,14.730941704035875
Floating window (both),7,0.052039540961254405,0.8388278388278388,1.0,10.424587924272624,22.91479820627803
Floating window (both),14,0.028405862970117032,0.9157509157509157,1.0,14.635568361114887,11.457399103139014
Floating window (both),28,0.01749801158959209,0.9935483870967742,1.0,22.57832101307006,6.001494768310912
Floating window (both),56,0.011021474832405408,0.9897959183673469,1.0,38.32675042630106,3.273542600896861
Fixed order quantity (LN),7,0.09510282922395183,0.5341416719846841,1.0,9.412715179636402,52.37668161434978
Fixed order quantity (LN),28,0.03908646744688104,0.6705653021442495,1.0,13.660846719247777,14.185351270553065
Economic order quantity (LN),10,0.24213157595727758,0.7026046818331685,1.0,7.87665841171316,128.21375186846038
Economic order quantity (LN),100,0.23417793432564482,0.808235294117647,1.0,8.185896313080622,104.75336322869956
Economic order quantity (LN),1000,0.1614589251221452,0.9505016722408027,1.0,9.431593325815268,55.65022421524664
Floating window (both),7,0.019656857175320987,0.4701086956521739,1.0,1.6725528447045512,14.730941704035875
Floating window (both),14,0.013521190773775707,0.53125,1.0,5.44827848293684,8.729446935724962
Floating window (both),28,0.012839450062492899,0.8188405797101449,1.0,11.729353460434872,5.4559043348281016
Floating window (both),56,0.008294511987274173,0.8902439024390244,1.0,24.9826946849268,2.7279521674140508
Fixed order quantity (LN),7,0.03942733780252244,0.4190821256038647,1.0,3.2700801432274575,30.553064275037368
Fixed order quantity (LN),28,0.022156573116691284,0.5158730158730159,1.0,7.957673566246886,10.911808669656203
Economic order quantity (LN),10,0.024201795250539712,0.23905723905723905,1.0,0.2528440339717494,36.00896860986547
Economic order quantity (LN),100,0.03204181343029201,0.5290806754221389,1.0,4.384030936688666,19.095665171898357
Economic order quantity (LN),1000,0.014771048744460856,0.6878306878306878,1.0,18.563403890817032,6.547085201793722
Floating window (both),7,0.119418247926372,0.8530844155844156,1.0,3.1527875467293187,50.19431988041853
Floating window (both),14,0.06726508351323714,0.9121725731895224,1.0,6.418905476562517,26.18834080717489
